Ref,Val,Package,PosX,PosY,Rot,Side
"C2","10uF","SMD-0805",-27.495500,9.652000,0.000000,bottom
"C3","1uF","SMD-0805",-28.956000,12.636500,-90.000000,bottom
"C4","100nF","SMD-0805",-30.988000,10.731500,90.000000,bottom
"C5","1uF","SMD-0805",-33.020000,10.731500,90.000000,bottom
"C6","1uF","SMD-0805",-42.164000,32.829500,90.000000,bottom
"C7","47pF","SMD-0805",-51.752500,30.480000,0.000000,bottom
"D1","M4","D_SMA",-27.750000,19.410000,0.000000,bottom
"D2","M4","D_SMA",-20.574000,4.826000,-90.000000,bottom
"D3","RED","LED_1206",-12.192000,33.274000,90.000000,bottom
"D4","YELLOW","LED_1206",-19.558000,33.306000,90.000000,bottom
"D5","YELLOW","LED_1206",-16.002000,33.274000,90.000000,bottom
"D6","GREEN","LED_1206",-23.114000,33.306000,90.000000,bottom
"F1","750mA","1812",-18.206000,14.732000,0.000000,bottom
"L1","NL322522T-101K","L_1210_3225Metric",-21.212000,10.668000,0.000000,bottom
"L2","27nH","L_0402_1005Metric",-49.340000,24.990000,-90.000000,bottom
"Q1","BC817-25","SOT-23",-26.035000,37.973000,180.000000,bottom
"R1","22R","SMD-0805",-28.956000,16.319500,90.000000,bottom
"R2","10k","SMD-0805",-47.307500,8.890000,0.000000,bottom
"R3","10k","SMD-0805",-43.751500,8.890000,180.000000,bottom
"R4","33R","SMD-0805",-36.004500,30.480000,180.000000,bottom
"R5","33R","SMD-0805",-39.624000,31.432500,90.000000,bottom
"R6","33R","SMD-0805",-38.100000,10.731500,-90.000000,bottom
"R7","33R","SMD-0805",-35.560000,10.731500,-90.000000,bottom
"R8","33R","SMD-0805",-44.513500,11.176000,0.000000,bottom
"R9","33R","SMD-0805",-40.640000,10.731500,-90.000000,bottom
"R10","620R","SMD-0805",-12.192000,37.909500,90.000000,bottom
"R11","10R","SMD-0805",-48.196500,29.972000,0.000000,bottom
"R12","620R","SMD-0805",-19.558000,37.909500,90.000000,bottom
"R13","620R","SMD-0805",-16.002000,37.846000,90.000000,bottom
"R14","220R","SMD-0805",-25.840000,32.197500,90.000000,bottom
"R15","10k","SMD-0805",-42.164000,36.512500,-90.000000,bottom
"R16","220R","SMD-0805",-23.100000,37.952500,-90.000000,bottom
"U1","USBLC6-2SC6","SOT-23-6",-20.744000,21.336000,180.000000,bottom
"U2","MIC5504-3.3YM5","SOT-23-5",-25.974000,12.784000,90.000000,bottom
"U3","NEO-M8P","ublox_NEO",-39.624000,21.082000,-90.000000,bottom
